Forum	Url
Elite X3	https://h30434.www3.hp.com/t5/Elite-x3/bd-p/Elitex3
Android	https://h30434.www3.hp.com/t5/Android/bd-p/android
Windows	https://h30434.www3.hp.com/t5/Windows/bd-p/Windows_Tablets
Calculators	https://h30434.www3.hp.com/t5/Calculators/bd-p/Calulators-Handhelds
Palm And WebOS	https://h30434.www3.hp.com/t5/Palm-and-WebOS/bd-p/palm-hardware
